Program,Prog.Methods,Probability,Experience,Career_Interest,Knowledge
CS,C,B,Yes,Data Scientist,Fair
CS,B,A,Yes,Data Scientist,Good
CS,C,B+,Yes,Software Developer,Fair
CS,C+,B+,No,Software Developer,Poor
CS,B,A,Yes,Software Developer,Good
CS,A,B,Yes,Software Developer,Good
CS,A,A,Yes,Data Scientist,Excellent
CS,C,C+,Yes,Tester / QA,Fair
CS,C,B+,Yes,IT Support / Administrator,Fair
CS,D,A,Yes,IT Support / Administrator,Fair
CS,B,D,No,Data Scientist,Good
CS,B,A,Yes,Data Scientist,Good
CS,C,B,Yes,Software Developer,Fair
CS,C,B+,Yes,Software Developer,Fair
CS,D,A,No,IT Support / Administrator,Fair
CS,C+,B+,Yes,Data Scientist,Poor
CS,C+,C+,No,Data Scientist,Fair
CS,A,B,Yes,DevOps Engineer,Good
CS,B,C+,Yes,UX UI Designer,Excellent
CS,A,A,No,Data Scientist,Poor
CS,C+,B,Yes,Data Scientist,Excellent
CS,C,B,Yes,Software Developer,Good
CS,C,C+,Yes,Software Developer,Good
CS,C+,B,Yes,Software Developer,Fair
CS,B+,B,No,Data Scientist,Excellent
CS,B,C,No,unsure,Excellent
CS,B,A,No,unsure,Poor
CS,B,B+,Yes,Data Scientist,Poor
CS,C+,C+,No,Software Developer,Fair
CS,B+,B+,Yes,Data Scientist,Excellent
CS,A,A,Yes,Data Scientist,Poor
CS,B+,B,Yes,UX UI Designer,Excellent
CS,B,A,Yes,Data Scientist,Good
CS,C+,B+,Yes,unsure,Fair
CS,B,B+,No,Data Scientist,Excellent
CS,B,B+,Yes,Software Developer,Fair
CS,B,B+,Yes,Data Scientist,Good
CS,C+,B,Yes,unsure,Fair
CS,C,B+,No,Software Developer,Good
CS,B,A,No,Software Developer,Good
CS,B+,A,Yes,Software Developer,Good
CS,C+,B+,Yes,unsure,Good
CS,C+,A,Yes,Data Scientist,Good
CS,B,A,Yes,Software Developer,Excellent
CS,B,B+,Yes,Software Developer,Good
CS,B+,A,Yes,Software Developer,Excellent
CS,C,B+,Yes,unsure,Excellent
CS,B,B+,Yes,Data Scientist,Good
CS,C+,A,Yes,Software Developer,Excellent
CS,C+,B+,Yes,unsure,Fair
CS,C,B,Yes,unsure,Good
CS,C,B,Yes,Software Developer,Poor
CS,C,B,No,unsure,Fair
CS,C+,A,Yes,Software Developer,Excellent
CS,C+,B+,Yes,Data Scientist,Good
CS,C+,B,Yes,unsure,Good
CS,C,B+,Yes,Software Developer,Excellent
CS,C+,B,No,Software Developer,Excellent
CS,C+,C+,Yes,Software Developer,Good
CS,C,B,Yes,Data Scientist,Fair
CS,B,A,Yes,Software Developer,Excellent
CS,C,B,Yes,Software Developer,Fair
CS,C+,B,Yes,Software Developer,Fair
CS,C,B+,No,Data Scientist,Fair
